name,price,rating,urls,details,_id
ASUS ROG Zephyrus G16 Intel Core i9 16GB 1TB RTX 4070 240Hz WQXGA 16 Inch Windows 11 Home Gaming Laptop,£1889.97,24%,https://www.laptopsdirect.co.uk/asus-rog-zephyrus-g16-intel-core-i9-13900h-16gb-ram-1tb-ssd-nvidia-rtx-4060-gu603vi-n4015w/version.asp,"Intel Core i9 13900H Processor, GeForce RTX 4070 Graphics card, 16 Inch 2560 x 1600 Screen, 16GB RAM, 1TB SSD",650b4bf8424970cd85c38973
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 256GB SSD - Space Grey,£1269.97,9%,https://www.laptopsdirect.co.uk/apple-macbook-air-2023-15.3-inch-m2-8gb-ram-256gb-ssd-space-grey-mqkp3b-a/version.asp,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 256GB SSD, 1 year warranty",650b4bf8424970cd85c38974
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 512GB SSD - Starlight,£1439.97,10%,https://www.laptopsdirect.co.uk/apple-macbook-air-2023-15.3-inch-m2-8gb-ram-512gb-ssd-starlight-mqkv3b-a/version.asp,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 512GB SSD, 1 year warranty",650b4bf8424970cd85c38975
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 256GB SSD - Silver,£1269.97,9%,https://www.laptopsdirect.co.uk/apple-macbook-air-2023-15.3-inch-m2-8gb-ram-256gb-ssd-silver-mqkr3b-a/version.asp,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 256GB SSD, 1 year warranty",650b4bf8424970cd85c38976
"Medion Erazer Crawler E10 15.6"" FHD 60Hz Intel Core i5-10300H 8 GB 512 GB  GTX 1650 Windows 11 Home Gaming Laptop",£499.97,23%,https://www.laptopsdirect.co.uk/medion-crawler-e10-core-i5-10300h-8gb-512gb-ssd-15.6-inch-geforce-gtx-1650-30033537/version.asp,"Intel Core i5 10300H Processor, GeForce GTX 1650 4GB Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD",650b4bf8424970cd85c38977
Gigabyte G5 Intel Core i5 16GB 512GB RTX 4060 144Hz FHD 15.6 Inch Windows 11 Gaming Laptop,£897.97,18%,https://www.laptopsdirect.co.uk/gigabyte-g5-intel-core-i5-16gb-512gb-rtx-4060-144hz-fhd-15.6-inch-windows-1-g5-kf-e3uk313sh/version.asp,"Intel Core i5 12500H Processor, GeForce RTX 4060 8GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c38978
MEDION Akoya E15407 Intel Core i5 8GB RAM 256GB SSD 15.6 Inch Windows 11 Laptop,£349.97,22%,https://www.laptopsdirect.co.uk/medion-akoya-e15407-core-i5-1035g1-8gb-256gb-ssd-15.6-inch-full-hd-windows-30033539/version.asp,"Intel Core i5 1035G1 Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 2 year warranty",650b4bf8424970cd85c38979
Lenovo V15 G3 Core i7 16GB RAM 512GB SSD 15.6 Inch  FHD Windows 11 Pro Laptop,£629.97,23%,https://www.laptopsdirect.co.uk/lenovo-v15-g3-82tt-core-i7-1255u-16gb-512gb-ssd-15.6-inch-fhd-windows-11-p-82tt007ruk/version.asp,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c3897a
Lenovo V15 G3 AMD Ryzen 7 16GB RAM 512GB SSD 15.6 Inch Windows 11 Pro Laptop,£529.97,AMD Ryzen 7 5825U,https://www.laptopsdirect.co.uk/lenovo-v15-g3-aba-ryzen-7-16gb-512gb-ssd-15.6-inch-fhd-windows-11-pro-lapto-82tv0042uk/version.asp,"AMD Ryzen 7 5825U Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1-year warranty",650b4bf8424970cd85c3897b
Lenovo V15 IML Core i5 8GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop,£409.97,9%,https://www.laptopsdirect.co.uk/lenovo-v15-iml-core-i5-1021u-8gb-256gb-ssd-15.6-inch-windows-10-pro-laptop-82nb003luk/version.asp,"Intel Core i5 10210U Processor, UHD Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",650b4bf8424970cd85c3897c
